source_identifier	identifier_type	discovery_origin	reported_modality	candidate_role	admission_status	eligible_patient_n	original_study_id	patient_pairing_status
GSE96619	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
ERP105482	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
ERP107734	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
PRJEB23709	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
PRJEB25780	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
PRJNA482620	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
PRJNA564119	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP070710	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP094781	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP150548	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP155030	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP183455	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP217040	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP230414	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP250849	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP302761	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP609012	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
SRP614547	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE213145	accession_or_publication	paired_epigenetic_literature	RNA-seq	Hossain2025_RNA_reused_from_2022	unverified_candidate			not_verified
GSE264158	accession_or_publication	paired_epigenetic_literature	EPIC_methylation_publication_reported	Hossain2025_pair_with_GSE213145_if_linkage_verified	unverified_candidate			not_verified
PMID:34951955	accession_or_publication	paired_epigenetic_literature	RNA_and_methylome_study_reported	Newell2022_access_and_pairing_audit	unverified_candidate			not_verified
10.1186/s12967-016-0990-x	accession_or_publication	paired_epigenetic_literature	RNA_and_MBDseq_study_reported	Seremet2016_durable_benefit_separate_endpoint	unverified_candidate			not_verified
10.5281/zenodo.15584210	accession_or_publication	paired_epigenetic_literature	RNA_RRBS_other_assays	EPICA_separate_molecular_vs_adjuvant_ICI_subsets	unverified_candidate			not_verified
